RutaID,X,Y
1065,640,241
1065,629,249
1065,610,246
1065,591,232
1065,586,232
1065,607,246
1065,626,250
1065,619,256
1065,609,257
1065,592,269
1065,601,266
1065,600,269
1065,603,270
1065,599,278
1065,592,275
1065,597,270
1065,589,276
1065,584,276
1065,583,273
1065,564,279
1065,556,278
1065,555,270
1065,540,266
1065,540,258
1065,537,255
1065,527,255
1065,533,254
1065,539,258
1065,540,268
1065,547,267
1065,553,270
1065,554,281
1065,568,282
1065,581,276
1065,595,279
1065,603,277
1065,607,265
1065,603,265
1065,611,258
1065,614,260
1065,611,263
1065,623,257
1065,634,260
1065,639,254
1065,665,254
1065,663,251
1065,689,252
1065,694,256
1065,696,274
1065,686,268
1065,701,286
1065,699,283
1065,702,282
1065,718,287
1065,750,304
1065,740,296
1065,711,284
1065,740,261
1065,753,261
1065,758,274
1065,763,277
1065,789,277
1065,803,286
1065,789,276
1065,778,277
1065,776,272
1065,775,276
1065,763,276
1065,757,272
1065,747,226
1065,749,224
1065,752,227
1065,749,223
1065,752,217
1065,759,217
1065,751,217
1065,746,213
1065,749,209
1065,747,194
1065,735,185
1065,741,176
1065,730,167
1065,730,160
1065,740,145
1065,735,144
1065,732,139
1065,739,139
1065,742,142
1065,745,139
1065,732,137
1065,730,134
1065,739,126
1065,735,130
1065,727,131
1065,733,122
1065,732,112
1065,743,103
1065,745,125
1065,742,127
1065,755,126
1065,750,131
1065,761,127
1065,768,131
1065,784,133
1065,794,130
1065,810,130
1065,817,133
1065,824,131
1065,826,134
1065,842,137
1065,905,139
1065,916,143
1065,925,140
1065,930,142
1065,928,140
1065,933,137
1065,939,140
1065,936,142
1065,941,168
1065,934,176
1065,937,177
1065,935,185
1065,917,199
1065,926,193
1065,926,204
1065,929,200
1065,930,207
1065,920,213
1065,923,214
1065,909,233
1065,904,254
1065,897,262
1065,900,263
1065,896,289
1065,897,304
1065,900,268
1065,907,261
1065,906,254
1065,912,233
1065,931,212
1065,929,210
1065,932,204
1065,928,197
1065,947,170
1065,946,167
1065,945,171
1065,941,172
1065,939,144
1065,955,145
1065,954,142
1065,964,138
1065,965,143
1065,960,147
1065,965,145
1065,967,150
